Vernier Format 2
trial 2 calor.cmbl 10/1/2015 12:13:46 .
Latest
Time	Temperature
t	Temp
s	°C

0	47.2562275372
0.5	46.2705796372
1	45.5503615231
1.5	45.0780440026
2	44.7723448258
2.5	44.5267774013
3	44.3239360124
3.5	44.1400589277
4	43.9999755514
4.5	43.8701525907
5	43.7787567576
5.5	43.6742141651
6	43.586386499
6.5	43.4870912759
7	43.4044518778
7.5	43.3318088771
8	43.2246309316
8.5	43.1060980912
9	43.0091126182
9.5	42.9286643113
10	42.8466661502
10.5	42.76476029
11	42.6845815413
11.5	42.620828402
12	42.557130454
12.5	42.4788083457
13	42.4103443517
13.5	42.3403155035
14	42.2654735968
14.5	42.2102037003
15	42.1452323012
15.5	42.0884282375
16	42.0122155531
16.5	41.9474139325
17	41.8778136294
17.5	41.8098930687
18	41.7436476235
18.5	41.6823002727
19	41.6242266481
19.5	41.5581402124
20	41.4985494211
20.5	41.4422216265
21	41.3762891641
21.5	41.3136242569
22	41.2526140434
22.5	41.2012735204
23	41.1499662213
23.5	41.1099054222
24	41.0506523607
24.5	41.0026415593
25	40.9610554448
25.5	40.9146963043
26	40.8731556043
26.5	40.8236542126
27	40.7725877152
27.5	40.7343089042
28	40.6944542722
28.5	40.64824727
29	40.6132110853
29.5	40.5718239776
30	40.5352296729
30.5	40.4779842405
31	40.363612074
31.5	40.2224522024
32	40.0957693439
32.5	39.9945596149
33	39.909257492
33.5	39.8540145169
34	39.7972302464
34.5	39.7578187503
35	39.7168498704
35.5	39.6727512129
36	39.6459879592
36.5	39.6129388381
37	39.5909130551
37.5	39.5736109831
38	39.5421614464
38.5	39.5185817095
39	39.5044369123
39.5	39.4902943953
40	39.4635869637
40.5	39.4557333805
41	39.4290364366
41.5	39.4054870225
42	39.3850826104
42.5	39.3521315795
43	39.3301710339
43.5	39.3066479083
44	39.2799958914
44.5	39.2596203214
45	39.2376826077
45.5	39.2204496149
46	39.1938233417
46.5	39.1812960716
47	39.1437247625
47.5	39.1421596326
48	39.1233802
48.5	39.1030402389
49	39.0905256232
49.5	39.0780127451
50	39.0639378316
50.5	39.0514286391
51	39.0514286391
51.5	39.0404845162
52	39.0389211782
52.5	39.0201632291
53	39.023289284
53.5	39.0092228866
54	39.0029718554
54.5	38.9795343251
55	38.9623506476
55.5	38.9358004416
56	38.9342389059
56.5	38.9076968931
57	38.8874052692
57.5	38.8639974554
58	38.8437155262
58.5	38.8265573997
59	38.8016058511
59.5	38.7782199258
60	38.7532814862
60.5	38.7376983869
61	38.7080977425
61.5	38.7003096743
62	38.6909648577
62.5	38.6738351425
63	38.6613791558
63.5	38.6458115234
64	38.6395852011
64.5	38.6364721964
65	38.6224649652
65.5	38.6131279826
66	38.6131279826
66.5	38.6037919365
67	38.5960126127
67.5	38.5960126127
68	38.5897896212
68.5	38.5960126127
69	38.583567045
69.5	38.5789003853
70	38.5789003853
70.5	38.5820114658
71	38.5711231375
71.5	38.5711231375
72	38.5711231375
72.5	38.5462402957
73	38.5617912953
73.5	38.544685338
74	38.5384657656
74.5	38.5198095277
75	38.5353561344
75.5	38.5198095277
76	38.4949403198
76.5	38.5073740994
77	38.5011570036
77.5	38.4933862132
78	38.4902780771
78.5	38.4747389396
79	38.4669703342
79.5	38.4607559119
80	38.4529884613
80.5	38.4421151068
81	38.4359023249
81.5	38.420372161
82	38.4126080378
82.5	38.3970817062
83	38.3908718878
83.5	38.3893194969
84	38.3769012872
84.5	38.3644847066
85	38.3613808157
85.5	38.3489662689
86	38.335001846
86.5	38.3287960953
87	38.335001846
87.5	38.3458628862
88	38.3582770266
88.5	38.3613808157
89	38.3644847066
89.5	38.3582770266
90	38.3613808157
90.5	38.3396564253
91	38.3520697532
91.5	38.3458628862
92	38.3381048735
92.5	38.33189892
93	38.3381048735
93.5	38.3551733391
94	38.3582770266
