0.5	23.2981202756
1	23.3780480133
1.5	23.3417190396
2	23.1542124692
2.5	22.794940672
3	22.5853221799
3.5	22.1875504363
4	21.9439645908
4.5	21.7848625463
5	21.7322943239
5.5	21.6665691986
6	21.5569899459
6.5	21.3684009826
7	21.0962194371
7.5	20.8662202722
8	20.8295738211
8.5	20.8720831245
9	20.7782582209
9.5	20.4363190061
10	20.0849588268
10.5	19.7240849325
11	19.3580287621
11.5	19.0089255387
12	18.6011369745
12.5	18.2458092539
13	17.743227957
13.5	17.2717018261
14	16.8119129193
14.5	16.3094835552
15	15.9656782543
15.5	15.6253242701
16	15.3159027017
16.5	15.0392028199
17	14.7217844904
17.5	14.4002102024
18	14.0713137709
18.5	13.7536166957
19	13.4643518654
19.5	13.1084085608
20	12.6518494489
20.5	12.2875443096
21	12.1340543708
21.5	11.9024412201
22	11.3426386186
22.5	10.9991907487
23	10.8187717092
23.5	10.5763991481
24	10.4402937418
24.5	10.3347855449
25	10.1428213778
25.5	9.68506038865
26	9.32474547527
26.5	9.06682042079
27	8.81779813654
27.5	8.60616204619
28	8.36026468282
28.5	8.15877508938
29	7.93295753781
29.5	7.69269385408
30	7.49567072224
30.5	7.26721695768
31	7.09611888459
31.5	6.8866600051
32	6.72472567872
32.5	6.57614870086
33	6.4236909438
33.5	6.22728078412
34	5.96017605564
34.5	5.69873416751
35	5.45893937474
35.5	5.2428645696
36	5.03298904655
36.5	4.81685670665
37	4.64829733065
37.5	4.4791559598
38	4.31304145569
38.5	4.16994185061
39	3.9827244326
39.5	3.78379434759
40	3.59503932782
40.5	3.41104929714
41	3.27257595757
41.5	3.15037408879
42	2.87142133397
42.5	2.58510704768
43	2.37435045047
43.5	2.21751621417
44	2.01830741521
44.5	1.83728489514
45	1.69575268925
45.5	1.61713588612
46	1.53260634289
46.5	1.46332154477
47	1.27800995407
47.5	1.08411194402
48	1.00240802072
48.5	0.875646759047
49	0.664172297962
49.5	0.441744920371
50	0.325130351227
50.5	0.241913519879
51	0.138647108025
51.5	0.0410974130452
52	-0.0287252071724
52.5	-0.118675116557
53	-0.224874868605
53.5	-0.2911416966
54	-0.375640587582
54.5	-0.446193486215
55	-0.543155984414
55.5	-0.670780822571
56	-0.760161264693
56.5	-0.876252832941
57	-0.99473576232
57.5	-1.09511490916
58	-1.1669734818
58.5	-1.24308353621
59	-1.33791652338
59.5	-1.44747111827
60	-1.54696115418
60.5	-1.63214778032
61	-1.70501903399
61.5	-1.78429491347
62	-1.81981415959
62.5	-1.82817647278
63	-1.87838920591
63.5	-1.90352061065
64	-1.97481729083
64.5	-2.04414632185
65	-2.14521754003
65.5	-2.27617306562
66	-2.39485209619
66.5	-2.5075237287
67	-2.61413317743
67.5	-2.68894358386
68	-2.77033899903
68.5	-2.82613482707
69	-2.94875503302
69.5	-3.05017393444
70	-3.16488049648
70.5	-3.24082971689
71	-3.31693895128
71.5	-3.2930015994
72	-2.99835026037
72.5	-2.63335562988
73	-2.27617306562
73.5	-1.95383367912
74	-1.69251690236
74.5	-1.51791650173
75	-1.37922119479
75.5	-1.26573978583
76	-1.17930548481
76.5	-1.11358011466
77	-1.06435906748
77.5	-1.03157964054
78	-0.974281989424
78.5	-0.949751616867
79	-0.921152324063
79.5	-0.892573955071
80	-0.872173616179
80.5	-0.853822400523
81	-0.857899705035
81.5	-0.845669064944
82	-0.843630996242
82.5	-0.823256138281
83	-0.82121923498
83.5	-0.82121923498
84	-0.813072679925
84.5	-0.827330262458
85	-0.825293147434
85.5	-0.82121923498
86	-0.831404810192
86.5	-0.825293147434
87	-0.847707239705
87.5	-0.823256138281
88	-0.831404810192
88.5	-0.827330262458
89	-0.831404810192
89.5	-0.849745520543
90	-0.857899705035
90.5	-0.857899705035
91	-0.853822400523
91.5	-0.866055588253
92	-0.861977434228
92.5	-0.87013416726
93	-0.845669064944
93.5	-0.843630996242
94	-0.827330262458
94.5	-0.827330262458
95	-0.80492781701
95.5	-0.809000037025
96	-0.800856019732
96.5	-0.800856019732
97	-0.809000037025
97.5	-0.813072679925
98	-0.813072679925
98.5	-0.831404810192
99	-0.835479781635
99.5	-0.835479781635
100	-0.831404810192
100.5	-0.831404810192
101	-0.845669064944
101.5	-0.843630996242
102	-0.835479781635
102.5	-0.849745520543
103	-0.839555176935
103.5	-0.839555176935
104	-0.845669064944
104.5	-0.843630996242
105	-0.835479781635
105.5	-0.843630996242
106	-0.835479781635
106.5	-0.857899705035
107	-0.831404810192
107.5	-0.827330262458
108	-0.839555176935
108.5	-0.843630996242
109	-0.861977434228
109.5	-0.861977434228
110	-0.857899705035
110.5	-0.845669064944
111	-0.857899705035
111.5	-0.853822400523
112	-0.857899705035
112.5	-0.853822400523
113	-0.835479781635
113.5	-0.849745520543
114	-0.853822400523
114.5	-0.845669064944
115	-0.861977434228
115.5	-0.849745520543
116	-0.880332475061
116.5	-0.87013416726
117	-0.898696132437
117.5	-0.933406598712
118	-0.925236655061
118.5	-0.929321413227
119	-0.933406598712
119.5	-0.919110318704
120	-0.898696132437
120.5	-0.894614574345
121	-0.921152324063
121.5	-0.902778116715
122	-0.894614574345
122.5	-0.880332475061
123	-0.884412542689
123.5	-0.884412542689
124	-0.894614574345
124.5	-0.892573955071
125	-0.90686052733
125.5	-0.902778116715
126	-0.90686052733
126.5	-0.894614574345
127	-0.902778116715
127.5	-0.929321413227
128	-0.919110318704
128.5	-0.945664720593
129	-0.974281989424
129.5	-0.968147949734
130	-0.974281989424
130.5	-0.974281989424
131	-0.974281989424
131.5	-0.974281989424
