0.000 0.0000
0.300 0.0171
0.433 0.0385
0.566 0.0764
0.633 0.1019
0.700 0.1258
0.766 0.1605
0.833 0.1943
0.900 0.2380
1.000 0.3056
1.100 0.3831
1.200 0.4680
1.233 0.4952
1.266 0.5200
1.300 0.5496
1.333 0.5760
1.366 0.6024
