time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-10-21T06:10:32.150Z,37.4731667,-118.7886667,6.52,2.98,md,38,61,0.121,0.04,nc,nc72331006,2014-10-21T23:21:07.187Z,"25km SE of Mammoth Lakes, California",earthquake
2014-10-21T04:41:45.000Z,59.9458,-153.3226,135.8,3.8,ml,,,,1.1,ak,ak11424625,2014-10-21T12:44:14.382Z,"68km SSW of Redoubt Volcano, Alaska",earthquake
2014-10-21T04:33:24.980Z,37.0842,-104.9483,6.28,2.7,ml,,77,0.433,0.41,us,usb000spd3,2014-10-21T12:36:01.698Z,"40km WSW of Trinidad, Colorado",earthquake
2014-10-21T04:26:39.240Z,36.1529,-96.9656,5,2.5,mb_lg,,62,0.209,0.52,us,usb000spdf,2014-10-21T14:25:39.097Z,"9km ENE of Stillwater, Oklahoma",earthquake
2014-10-21T04:25:53.700Z,18.8791,-66.2965,6,2.6,Md,3,349.2,1.02407942,0.01,pr,pr14294000,2014-10-21T12:28:24.954Z,"45km N of Brenas, Puerto Rico",earthquake
2014-10-21T04:02:10.000Z,65.1604,-149.0854,10.1,2.5,ml,,,,0.68,ak,ak11424588,2014-10-21T12:04:45.632Z,"61km NW of Ester, Alaska",earthquake
2014-10-21T04:00:16.000Z,69.1985,-144.2608,52.6,2.8,ml,,,,0.33,ak,ak11424590,2014-10-21T12:02:55.860Z,"107km SSW of Kaktovik, Alaska",earthquake
2014-10-21T03:17:31.000Z,61.4498,-146.4103,29.9,3.5,ml,,,,0.6,ak,ak11424546,2014-10-21T12:23:40.233Z,"35km N of Valdez, Alaska",earthquake
2014-10-21T03:03:55.930Z,38.1667,27.1073,14.6,4.1,ml,,,,1.36,us,usb000spcx,2014-10-21T11:06:35.456Z,"9km SSW of Cumaovasi, Turkey",earthquake
2014-10-21T00:57:21.000Z,65.1284,-148.9761,10.9,2.5,ml,,,,0.69,ak,ak11424441,2014-10-21T08:59:56.407Z,"55km NW of Ester, Alaska",earthquake
