255 250 250 snow
248 248 255 ghostwhite
245 245 245 whitesmoke
255 228 196 bisque
230 230 250 lavender
255 228 225 mistyrose
255 255 255 white
  0   0   0 black
 47  79  79 darkslategray
105 105 105 dimgray
112 128 144 slategray
119 136 153 lightslategray
190 190 190 gray
  0   0 128 navyblue
100 149 237 cornflowerblue
 72  61 139 darkslateblue
106  90 205 lateblue
123 104 238 mediumslateblue
132 112 255 lightslateblue
  0   0 205 mediumblue
 65 105 225 royalblue
  0   0 255 blue
135 206 235 skyblue
135 206 250 lightskyblue
 70 130 180 steelblue
176 196 222 lightsteelblue
 64 224 208 turquoise
  0 255 255 cyan
127 255 212 aquamarine
  0 100   0 darkgreen
 46 139  87 seagreen
  0 255 127 springgreen
  0 255   0 green
127 255   0 chartreuse
173 255  47 greenyellow
 50 205  50 limegreen
240 230 140 khaki
255 255   0 yellow
255 215   0 gold
160  82  45 sienna
245 245 220 beige
245 222 179 wheat
210 180 140 tan
210 105  30 chocolate
178  34  34 firebrick
165  42  42 brown
250 128 114 salmon
255 165   0 orange
255 127  80 coral
255   0   0 red
255 192 203 pink
176  48  96 maroon
208  32 144 violetred
238 130 238 violet
221 160 221 plum
218 112 214 orchid
147 112 219 mediumpurple
  0   0 255 blue
255   0 255 magenta
144 238 144 lightgreen
